Country,Code,Year,Population,LifeExp,GDPperCap,Continent_Name
Romania,ROU,1952,16765000.0,60.961999999999996,1191.0,Europe
Israel,ISR,1952,1436000.0,68.748,4274.0,Asia
Peru,PER,1952,8185000.0,43.893,2191.0,South America
Eswatini,SWZ,1952,285000.0,40.131,768.0,Africa
South Korea,KOR,1952,19818000.0,40.703,1086.0,Asia
Benin,BEN,1952,2265000.0,33.467,1213.0,Africa
Paraguay,PRY,1952,1551000.0,62.678999999999995,1196.0,South America
Finland,FIN,1952,4097000.0,66.204,5988.0,Europe
United Kingdom,GBR,1952,50651000.0,69.271,9507.0,Europe
Uganda,UGA,1952,5453000.0,39.853,1142.0,Africa
Jamaica,JAM,1952,1468000.0,59.106,2403.0,North America
Belgium,BEL,1952,8728000.0,67.632,7388.0,Europe
Uruguay,URY,1952,2286000.0,66.007,6600.0,South America
Palestine,PSE,1952,932000.0,46.455,858.0,Asia
Argentina,ARG,1952,17743000.0,62.343,7573.0,South America
Niger,NER,1952,2717000.0,34.465,1185.0,Africa
Bolivia,BOL,1952,3171000.0,39.499,1741.0,South America
Cote d'Ivoire,CIV,1952,2761000.0,29.805999999999997,1789.0,Africa
Egypt,EGY,1952,21474000.0,40.562,1484.0,Africa
Puerto Rico,PRI,1952,2183000.0,63.034,5179.0,North America
Colombia,COL,1952,12634000.0,51.418,3063.0,South America
Italy,ITA,1952,47391000.0,66.312,4297.0,Europe
Saint Lucia,LCA,1952,85000.0,50.019,2062.0,North America
Indonesia,IDN,1952,72275000.0,41.423,1285.0,Asia
Australia,AUS,1952,8595000.0,69.275,13235.0,Oceania
Rwanda,RWA,1952,2314000.0,39.985,637.0,Africa
Austria,AUT,1952,6931000.0,66.392,5066.0,Europe
Norway,NOR,1952,3334000.0,72.725,8889.0,Europe
Equatorial Guinea,GNQ,1952,234000.0,33.787,881.0,Africa
North Macedonia,MKD,1952,1321000.0,54.477,1860.0,Europe
China,CHN,1952,582576000.0,43.772,989.0,Asia
Bangladesh,BGD,1952,39490000.0,40.198,1129.0,Asia
North Korea,PRK,1952,10049000.0,36.177,550.0,Asia
El Salvador,SLV,1952,2280000.0,44.271,1391.0,North America
Nigeria,NGA,1952,39035000.0,33.618,1811.0,Africa
Peru,PER,1953,8401000.0,44.248000000000005,2280.0,South America
Seychelles,SYC,1953,38000.0,62.013999999999996,5375.0,Africa
Central African Republic,CAF,1953,1371000.0,32.984,1247.0,Africa
Namibia,NAM,1953,545000.0,41.078,3353.0,Africa
Ethiopia,ETH,1953,19184000.0,34.249,707.0,Africa
Saudi Arabia,SAU,1953,3373000.0,42.185,5185.0,Asia
Bosnia and Herzegovina,BIH,1953,2821000.0,54.26,629.0,Europe
Japan,JPN,1953,86870000.0,63.233999999999995,3217.0,Asia
South Africa,ZAF,1953,14542000.0,45.148999999999994,5348.0,Africa
Morocco,MAR,1953,9837000.0,45.821000000000005,2736.0,Africa
Cuba,CUB,1953,6304000.0,59.695,3803.0,North America
